mode,S0,params_file,C0_Wh,k_age,area_ratio,dt_s,thermal_enabled,tau_s,kappa_k_per_w,T_amb_c,T0_c,T_ref,alpha_minus,beta_minus,alpha_plus,beta_plus,gamma,tte_s,tte_h,steps,avg_power_W,E_total_Wh,T_end_c,E_P_base_Wh,E_P_scr_Wh,E_P_cpu_Wh,E_P_wifi_Wh,E_P_4g_Wh,E_P_5g_Wh,E_P_gps_Wh,E_P_bg_sw_Wh,E_P_bg_int_Wh,share_P_base,share_P_scr,share_P_cpu,share_P_wifi,share_P_4g,share_P_5g,share_P_gps,share_P_bg_sw,share_P_bg_int
social_wifi,0.5,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,27361.748069816862,7.600485574949128,27362,0.45303002425390965,3.443248164360694,57.617861419471794,0.9368215695580248,1.4043372524436037,0.2988605046977336,0.44163749504686245,0.0,0.0,0.0,0.15317897588753973,0.20841236672879235,0.27207494924547904,0.40785246529111163,0.0867960978796377,0.12826188353718648,0.0,0.0,0.0,0.0444867661509319,0.0605278378961942
social_wifi,0.8,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,43656.795352392124,12.126887597886702,43657,0.4530279766950542,5.493819352078958,57.617861421043884,1.4947306213799123,2.2406677666091244,0.4768420822155248,0.7046476179102876,0.0,0.0,0.0,0.24440225679107058,0.3325290071736853,0.27207494924533326,0.4078524652910577,0.08679609787953427,0.12826188353711276,0.0,0.0,0.0,0.04448676615087179,0.060527837896207935
gaming_wifi,0.2,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,2487.6886433511804,0.6910246231531056,2488,1.374658615369015,0.9499229516495435,114.00306313022023,0.08518427253343318,0.24238704092685862,0.582193971071436,0.040157667117762676,0.0,0.0,0.0,0.0,0.0,0.0896749282512971,0.25516494838444836,0.6128854661953949,0.04227465716880384,0.0,0.0,0.0,0.0,0.0
gaming_wifi,0.5,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,5414.533756856856,1.50403715468246,5415,1.3746049424290634,2.0674569064234554,123.0950739625966,0.18539904974617355,0.5275425348146706,1.267114289932267,0.08740103193034868,0.0,0.0,0.0,0.0,0.0,0.08967492825129784,0.25516494838447656,0.6128854661954135,0.042274657168814164,0.0,0.0,0.0,0.0,0.0
gaming_wifi,0.8,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,8270.915422720363,2.297476506311212,8271,1.3745006413046115,3.1578829313070393,123.88278363628666,0.28318292529097,0.8057810351710669,1.93542055254468,0.13349841830027456,0.0,0.0,0.0,0.0,0.0,0.08967492825130201,0.2551649483844407,0.6128854661954218,0.042274657168820354,0.0,0.0,0.0,0.0,0.0
videocall_wifi,0.2,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,3942.2515118721035,1.0950698644089176,3943,0.9628463828782742,1.0543840579451285,92.46958112000235,0.1350006377006901,0.32354845403918914,0.5321928112834369,0.06364215492175943,0.0,0.0,0.0,0.0,0.0,0.12803744203396872,0.30686015366141567,0.5047428470424891,0.06035955726207636,0.0,0.0,0.0,0.0,0.0
videocall_wifi,0.5,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,9110.763336869983,2.5307675935749954,9111,0.9626886149276951,2.436341149362608,94.28699446178524,0.31194288868651376,0.7476160194652192,1.2297257680960134,0.14705647311495865,0.0,0.0,0.0,0.0,0.0,0.12803744203397943,0.3068601536614892,0.5047428470424729,0.06035955726209826,0.0,0.0,0.0,0.0,0.0
videocall_wifi,0.8,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,14260.014718435812,3.961115199565503,14261,0.9627301228590236,3.8134849227364427,94.31144130765462,0.4882688547425261,1.1702065693771133,1.9248292370559146,0.23018026156212892,0.0,0.0,0.0,0.0,0.0,0.128037442034033,0.3068601536616036,0.504742847042572,0.060359557262116684,0.0,0.0,0.0,0.0,0.0
navigation_5g,0.2,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,3415.0716452632078,0.9486310125731132,3416,1.0734533950938294,1.0183111811379055,98.94791387351952,0.11695718447516389,0.3065498955462033,0.11295323191897032,0.0,0.0,0.3303738263492219,0.15147704284838126,0.0,0.0,0.11485407078067315,0.3010375425748061,0.11092211694341943,0.0,0.0,0.3244330735719191,0.14875319612921678,0.0,0.0
navigation_5g,0.5,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,7759.16160069573,2.155322666859925,7760,1.0732776244506672,2.313259591812097,102.17886290474235,0.2656872808920142,0.6963779828566952,0.25659165096342934,0.0,0.0,0.7504979193413935,0.3441047577585619,0.0,0.0,0.11485407078065436,0.3010375425747985,0.11092211694340266,0.0,0.0,0.32443307357195017,0.14875319612919305,0.0,0.0
navigation_5g,0.8,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,12071.71325432224,3.3532536817561778,12072,1.0731871576712875,3.598668787674692,102.26520168387157,0.41332175965580553,1.083334408382314,0.39917196010700334,0.0,0.0,1.1675271755527756,0.5353134839769379,0.0,0.0,0.11485407078067793,0.301037542574825,0.11092211694339657,0.0,0.0,0.32443307357195894,0.14875319612918167,0.0,0.0
weaknet_4g_burst,0.2,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,5742.811326555494,1.5952253684876372,5743,0.7283230118242292,1.1618393449153317,77.17314368668916,0.19662913069109106,0.3830029144490286,0.11228466627264388,0.0,0.3138317719230339,0.0,0.0,0.03215067825899209,0.12394018332058582,0.1692395179691735,0.32965221579489523,0.09664388348014377,0.0,0.27011632313579825,0.0,0.0,0.027672223702611007,0.10667583591741583
weaknet_4g_burst,0.5,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,13763.35368604655,3.8231538016795974,13764,0.7283332846272831,2.7845301660125856,77.43720436159013,0.4712525430668294,0.9179265391741368,0.26910780891116415,0.0,0.7521470501043819,0.0,0.0,0.0770541416605898,0.29704208309667485,0.1692395179692585,0.3296522157950247,0.09664388348017912,0.0,0.2701163231359234,0.0,0.0,0.027672223702618536,0.10667583591742359
weaknet_4g_burst,0.8,fitted_params.json,15.0,1.0,1.0,1.0,1,1200.0,0.06,25.0,30.0,16.798106433056283,0.1000000001,0.1000000001,0.029262893165506093,1.0000000000001364e-10,3.0,21780.56037027079,6.050155658408553,21781,0.7283137847504616,4.406411765904954,77.4375336640731,0.7457390032359655,1.4525834023352326,0.42585274527004513,0.0,1.1902437444292624,0.0,0.0,0.12193521211198101,0.4700576585241285,0.16923951796929074,0.32965221579488785,0.09664388348023278,0.0,0.2701163231359563,0.0,0.0,0.02767222370262052,0.10667583591738884
