scenario,perturbation,P_total,dP_total,P_base,P_scr,P_cpu,P_wifi,P_4g,P_5g,P_gps,P_bg_sw,P_bg_int,P_base_share,P_scr_share,P_cpu_share,P_wifi_share,P_4g_share,P_5g_share,P_gps_share,P_bg_sw_share,P_bg_int_share
shortvideo_highbright,brightness_up,3.4615721553620022,0.05699999999999994,0.4,1.9,0.5565721553620026,0.35,0.0,0.0,0.0,0.15,0.105,0.11555443077516003,0.5488835461820102,0.16078594649540034,0.10111012692826503,0.0,0.0,0.0,0.04333291154068501,0.030333038078479507
shortvideo_highbright,brightness_down,3.3475721553620024,-0.05699999999999994,0.4,1.7859999999999998,0.5565721553620026,0.35,0.0,0.0,0.0,0.15,0.105,0.11948958272917183,0.5335209868857521,0.16626143650720368,0.10455338488802533,0.0,0.0,0.0,0.04480859352343943,0.031366015466407604
shortvideo_highbright,cpu_up,3.460864675462546,0.05629252010054353,0.4,1.843,0.612864675462546,0.35,0.0,0.0,0.0,0.15,0.105,0.11557805274386808,0.5325258780173722,0.17708426446365932,0.10113079615088456,0.0,0.0,0.0,0.043341769778950524,0.03033923884526537
shortvideo_highbright,cpu_down,3.351915183439669,-0.052656971922333096,0.4,1.843,0.5039151834396696,0.35,0.0,0.0,0.0,0.15,0.105,0.1193347618031098,0.5498349150078283,0.15033649596185836,0.10441791657772106,0.0,0.0,0.0,0.04475053567616617,0.03132537497331632
shortvideo_highbright,net_4g,3.6045721553620025,0.20000000000000018,0.4,1.843,0.5565721553620026,0.0,0.55,0.0,0.0,0.15,0.105,0.11097017420083481,0.5112950776303463,0.1544072725896388,0.0,0.15258398952614788,0.0,0.0,0.04161381532531305,0.029129670727719135
shortvideo_highbright,net_5g,3.804572155362002,0.3999999999999999,0.4,1.843,0.5565721553620026,0.0,0.0,0.75,0.0,0.15,0.105,0.10513665759663857,0.4844171498765122,0.14629034031529495,0.0,0.0,0.1971312329936973,0.0,0.03942624659873946,0.02759837261911762
shortvideo_highbright,gps_on,3.804572155362002,0.3999999999999999,0.4,1.843,0.5565721553620026,0.35,0.0,0.0,0.4,0.15,0.105,0.10513665759663857,0.4844171498765122,0.14629034031529495,0.09199457539705874,0.0,0.0,0.10513665759663857,0.03942624659873946,0.02759837261911762
shortvideo_highbright,bg_on_more_intensity,3.4045721553620023,0.0,0.4,1.843,0.5565721553620026,0.35,0.0,0.0,0.0,0.15,0.105,0.11748906521779055,0.54133086799097,0.16347785564933143,0.10280293206556672,0.0,0.0,0.0,0.04405839945667145,0.030840879619670015
browsing_lowbright,baseline,2.4527607733034986,0.0,0.4,1.159,0.3337607733034986,0.35,0.0,0.0,0.0,0.15,0.06,0.163081538303167,0.47252875723342636,0.13607555083897285,0.14269634601527112,0.0,0.0,0.0,0.06115557686368762,0.024462230745475048
browsing_lowbright,brightness_up,2.5097607733034986,0.05699999999999994,0.4,1.216,0.3337607733034986,0.35,0.0,0.0,0.0,0.15,0.06,0.1593777400040785,0.48450832961239865,0.13298509437781297,0.13945552250356869,0.0,0.0,0.0,0.05976665250152944,0.023906661000611774
browsing_lowbright,brightness_down,2.3957607733034987,-0.05699999999999994,0.4,1.102,0.3337607733034986,0.35,0.0,0.0,0.0,0.15,0.06,0.16696157832505232,0.45997914828551917,0.13931306373435529,0.14609138103442076,0.0,0.0,0.0,0.06261059187189462,0.025044236748757845
browsing_lowbright,cpu_up,2.488700702453217,0.03593992914971844,0.4,1.159,0.36970070245321707,0.35,0.0,0.0,0.0,0.15,0.06,0.16072643834017614,0.46570485509066034,0.14855169289291698,0.1406356335476541,0.0,0.0,0.0,0.060272414377566044,0.024108965751026418
browsing_lowbright,cpu_down,2.4218614047093574,-0.03089936859414122,0.4,1.159,0.3028614047093573,0.35,0.0,0.0,0.0,0.15,0.06,0.16516221746718954,0.47855752511118166,0.12505315296756342,0.14451694028379083,0.0,0.0,0.0,0.06193583155019607,0.02477433262007843
browsing_lowbright,net_4g,2.652760773303499,0.20000000000000018,0.4,1.159,0.3337607733034986,0.0,0.55,0.0,0.0,0.15,0.06,0.15078630686395353,0.43690332413830535,0.12581638595622943,0.0,0.2073311719379361,0.0,0.0,0.05654486507398257,0.022617946029593026
browsing_lowbright,net_5g,2.8527607733034985,0.3999999999999999,0.4,1.159,0.3337607733034986,0.0,0.0,0.75,0.0,0.15,0.06,0.14021505193959877,0.4062731129949875,0.11699571041037678,0.0,0.0,0.2629032223867477,0.0,0.05258064447734954,0.021032257790939816
browsing_lowbright,gps_on,2.8527607733034985,0.3999999999999999,0.4,1.159,0.3337607733034986,0.35,0.0,0.0,0.4,0.15,0.06,0.14021505193959877,0.4062731129949875,0.11699571041037678,0.12268817044714891,0.0,0.0,0.14021505193959877,0.05258064447734954,0.021032257790939816
browsing_lowbright,bg_on_more_intensity,2.4527607733034986,0.0,0.4,1.159,0.3337607733034986,0.35,0.0,0.0,0.0,0.15,0.06,0.163081538303167,0.47252875723342636,0.13607555083897285,0.14269634601527112,0.0,0.0,0.0,0.06115557686368762,0.024462230745475048
social_wifi,baseline,2.7317007024532174,0.0,0.4,1.387,0.36970070245321707,0.35,0.0,0.0,0.0,0.15,0.075,0.14642892599499574,0.5077423008876477,0.13533719199955013,0.12812531024562124,0.0,0.0,0.0,0.054910847248123396,0.027455423624061698
